EMP_ID,EMP_NAME,BIRTH_DATE,DEPT_CODE,EMP_TYPE,USE_YN,TEL,HOBBY,SALARY,LEV,GRAVITY
20000101,이태백,1980/01/25,AA0001,인턴,Y,123-4567,등산,30000000,수습,0
20000102,김설악,1980/03/22,AB0001,인턴,Y,234-5678,낚시,30000000,수습,0
20000203,최오대,1980/04/15,AC0001,인턴,Y,345-6789,바둑,30000000,수습,0
20000334,박지리,1980/05/25,BA0001,인턴,Y,456-7890,노래,30000000,수습,0
20000305,정북악,1980/06/15,BB0001,인턴,Y,567-8901,독서,30000000,수습,0
20006106,유도봉,1980/07/05,BC0001,인턴,Y,678-9012,술,30000000,수습,0
20000407,윤주왕,1980/08/15,CA0001,인턴,Y,789-0123,오락,30000000,수습,0
20000308,강월악,1980/09/25,CB0001,인턴,Y,890-1234,골프,30000000,수습,0
20000119,장금강,1980/11/05,CC0001,인턴,Y,901-2345,술,30000000,수습,0
20000210,나한라,1980/12/15,CD0001,인턴,Y,012-3456,독서,30000000,수습,0
19970101,김길동,1974/01/25,AA0001,정규,Y,,등산,100000000,부장,5
19960101,홍길동,1973/03/22,AB0001,정규,Y,,낚시,72000000,과장,3
19970201,박문수,1975/04/15,AC0001,정규,Y,,바둑,50000000,과장,3
19930331,정도령,1976/05/25,BA0001,정규,Y,,노래,70000000,차장,4
19950303,이순신,1973/06/15,BB0001,정규,Y,,,56000000,대리,2
19966102,지문덕,1972/07/05,BC0001,정규,Y,,,45000000,과장,3
19930402,강감찬,1972/08/15,CA0001,정규,Y,,,64000000,차장,4
19960303,설까치,1971/09/25,CB0001,정규,Y,,,35000000,사원,1
19970112,연흥부,1976/11/05,CC0001,정규,Y,,,45000000,대리,2
19960212,배뱅이,1972/12/15,CD0001,정규,Y,,,39000000,과장,3
